week_of,n_listings,median_rent,pct_below_ami_4p,pct_conversion_feasible_only,pct_new_construction_feasible,n_single_family,median_rent_single_family,pct_below_ami_4p_single_family,n_new_construction,median_rent_new_construction,median_rent_existing_stock
2026-05-11,492,1600.0,66.9,76.2,12.4,,,,,,
2026-05-13,531,1600.0,65.7,76.6,12.2,,,,,,
2026-05-20,599,1600.0,68.3,77.8,11.5,,,,,,
2026-05-27,668,1600.0,68.4,78.6,10.5,,,,,,
2026-06-03,769,1600.0,68.5,79.1,11.4,,,,,,
2026-06-10,840,1600.0,67.7,80.8,9.6,,,,,,
2026-06-17,1110,1600.0,69.2,81.2,10.0,,,,,,
2026-06-24,1168,1600.0,69.8,83.9,7.9,,,,,,
2026-07-01,1193,1600.0,70.2,84.6,7.5,,,,,,
2026-07-08,1212,1600.0,70.0,86.5,5.7,,,,,,
2026-07-15,1341,1600.0,67.0,86.4,5.9,,,,,,
2026-07-21,1445,1600.0,66.5,86.4,5.7,259.0,1850.0,45.9,14.0,1900.0,1600.0
2026-07-22,1505,1625.0,66.1,86.7,5.5,309.0,1850.0,44.7,16.0,1900.0,1625.0
